Classification report:               precision    recall  f1-score   support

        left       0.00      0.00      0.00       170
       right       0.00      0.00      0.00       180
       fists       0.00      0.00      0.00       210
        rest       0.57      0.95      0.71       830
        feet       0.32      0.33      0.33       210

    accuracy                           0.54      1600
   macro avg       0.18      0.26      0.21      1600
weighted avg       0.34      0.54      0.41      1600
Confusion matrix: [[  0   0   0 160  10]
 [  0   0   0 120  60]
 [  0   0   0 170  40]
 [  0   0   0 790  40]
 [  0   0   0 140  70]]
